id,Address,Latitude,Longitude
1,Koteshwor Bus Stop,27.6757134,85.3485996
2,Balkumari Bus Stop,27.6723024,85.3411323
3,Khari Ko Bot,27.67044,85.3375275
4,Gwarko Bus Stop,27.6661451,85.3308219
5,B And B,27.6661451,85.3308219
6,Bodhigram Bus Stop,27.6630474,85.3281397
7,Satdobato Bus Stop,27.6595694,85.3245348
8,Satdobato Bus Stop,27.6589898,85.3232152
9,Chakrapath Bus Stop,27.6581724,85.3199852
10,Talchikhela Choke,27.6581724,85.3199852
11,JRC Chowk Bus Stop,27.6581724,85.3199852
12,Mahalaxmisthan Chowk,27.6581724,85.3199852
13,Thasikhel Chowk,27.6636532,85.3118196
14,Kusunti Bus Stop,27.6636532,85.3118196
15,Ekantakuna Bus Station,27.6661506,85.3063461
16,Ring Road,27.6683419,85.331603
17,Balkhu Bus Stop,27.684341,85.299082
18,Kalanki Bus Stop,27.6938032,85.2819588
19,Sano,27.7110015,85.2806461
20,Swayambhunath Bus Stop,27.716083,85.2818156
21,Thulo Bharyang Bus  Stop,27.7204424,85.2862466
22,Sano Bharyang Bus Stop,27.7204424,85.2862466
23,Dhungedhara Bus Stop,27.7211737,85.2910853
24,Banasthali Chowk,27.7222374,85.294776
25,Balaju Chowk,27.7260933,85.3025437
26,Machha Pokhari,27.7331968,85.3059662
27,Gongabu Bus Stop,27.7331588,85.3104187
28,Samakhusi Chowk Bus Stop,27.7338939,85.3160209
29,Taalim Kendra Bus Stop,27.7348816,85.3203124
30,Basundhara Chowk Bus Stop,27.7383761,85.3256983
31,Sajha Bus Stop,27.7404937,85.3307408
32,Narayan Gopal Chowk Bus Stop,27.7387274,85.3344959
33,Chapal Karkhana Bus Stop,27.7365719,85.3367811
34,Dhumbarahi,27.7332387,85.3409869
35,Sukedhara Bus Stop,27.7268432,85.3425746
36,Gopikrishna,27.7193499,85.3445058
37,Chabahil,27.7193499,85.3445058
38,Mitrapark,27.7108777,85.3431004
39,Jay Bijeshwori,27.7108777,85.3431004
40,Gaushala,27.7050171,85.3395813
41,Pingalasthan Bus Stop,27.7035353,85.347231
42,Bamansthal,27.7023289,85.350235
43,Sinamangal Bus Stop,27.6952705,85.351193
44,Koteshwore Bus Stand,27.6796044,85.346365
45,Soaltee Dobato Chowk,27.7059275,85.282431
46,Manjushree Yatayat Sewa ,27.7145272,85.2833067
